Team,O-down_3rd_Att,O-down_3rd_Md,O-down_4th_Att,O-down_4th_Md,O-down_Rec_1st,O-down_Rec_1st%,O-down_Rush_1st,O-down_Rush_1st%,O-down_Scrm_Plys,Year
Vikings,204,73,21,9,218,51.3,66,18.5,1003,2018
49ers,234,91,18,8,206,56.9,88,21.6,1058,2017
Bears,205,71,18,7,144,49.5,93,22,934,2017
Bengals,199,67,12,5,165,54.3,72,19.1,927,2017
Bills,241,101,15,2,149,51.6,105,21.6,1010,2017
Broncos,241,94,20,7,180,54.2,92,20.1,1075,2017
Browns,216,73,23,12,157,50.3,97,25.3,1008,2017
Buccaneers,196,85,8,4,243,64.3,76,19.5,1034,2017
Cardinals,233,82,16,7,200,59,66,16.1,1059,2017
Chargers,209,84,11,5,220,60.1,84,20,1020,2017
Chiefs,199,78,10,3,198,54.6,95,23.5,985,2017
Colts,228,87,17,8,148,51.9,94,20.8,994,2017
Cowboys,203,87,19,10,162,52.4,127,26.5,1005,2017
Dolphins,202,64,24,7,187,50.1,66,18.3,995,2017
Eagles,230,96,26,17,193,56.6,108,22.8,1073,2017
Falcons,197,88,13,4,200,58.3,101,23.5,984,2017
Giants,227,74,21,8,178,47.7,66,16.8,1036,2017
Jaguars,227,85,13,10,193,61.1,101,19.2,1078,2017
Jets,228,81,13,7,157,48.6,77,18,984,2017
Lions,209,81,9,1,210,56.2,58,16,980,2017
Packers,211,83,28,15,176,50,99,25.6,999,2017
Panthers,222,93,11,5,166,56.7,121,24.7,1026,2017
Patriots,202,82,13,8,231,59.4,107,23.9,1070,2017
Raiders,204,82,24,8,178,51.3,78,21.1,952,2017
Rams,214,88,12,5,185,57.8,97,21.4,1000,2017
Ravens,223,76,16,10,168,46.3,111,24.1,1054,2017
Redskins,204,66,16,9,191,55,66,16.5,982,2017
Saints,194,73,15,12,201,52.1,111,25,1000,2017
Seahawks,212,79,9,5,183,53.8,85,20.8,1007,2017
Steelers,209,92,8,3,217,56.5,96,22,1051,2017
Texans,209,76,10,5,180,60.2,86,19.2,1027,2017
Titans,202,71,10,5,157,51.3,97,21.9,974,2017
Vikings,216,94,7,1,196,54.9,100,20,1055,2017
49ers,222,78,19,10,152,53,116,25.3,996,2016
Bears,185,70,14,4,212,61.1,93,24.5,967,2016
Bengals,210,82,9,7,204,56,100,22.4,1050,2016
Bills,210,86,15,8,155,54.2,146,29.7,1012,2016
Broncos,219,75,17,9,181,53.4,76,18.5,1020,2016
Browns,212,77,18,13,181,53.6,83,23.7,983,2016
Buccaneers,214,94,9,4,220,62,80,17.7,1066,2016
Cardinals,214,87,10,5,229,59.8,97,24.3,1085,2016
Chargers,200,85,12,6,214,61.3,90,22.6,1014,2016
Chiefs,213,81,14,10,197,54,86,20.9,990,2016
Colts,202,87,18,8,220,59.5,93,22.7,1037,2016
Cowboys,189,80,9,8,191,58.8,142,28.5,1010,2016
Dolphins,188,69,4,0,167,52.8,90,22.2,912,2016
Eagles,224,85,27,13,192,50.5,114,26,1080,2016
Falcons,178,75,14,8,239,63.9,108,25.6,995,2016
Giants,219,78,19,9,190,50.4,73,18.3,1018,2016
Jaguars,221,78,16,7,207,56.1,75,19.1,1052,2016
Jets,210,76,19,8,166,53.4,97,23.2,1003,2016
Lions,195,83,10,7,217,55.9,76,21.7,981,2016
Packers,210,98,17,7,222,55.1,91,24.3,1029,2016
Panthers,223,83,17,11,194,63.4,99,21.8,1052,2016
Patriots,227,104,12,8,203,55.2,109,22.6,1056,2016
Raiders,218,83,13,6,198,52.2,98,22.6,1048,2016
Rams,213,67,20,8,151,48.4,68,18.1,960,2016
Ravens,233,86,19,8,205,46.7,79,21.5,1079,2016
Redskins,199,90,14,7,226,55.5,89,23.5,1009,2016
Saints,220,107,15,13,265,56.1,105,26,1105,2016
Seahawks,207,79,11,4,203,55.2,85,21.1,1012,2016
Steelers,202,83,16,9,210,55.1,97,23.7,1026,2016
Texans,233,87,23,9,173,49.9,102,22.4,1071,2016
Titans,217,100,11,4,175,57,115,24.2,1008,2016
Vikings,213,81,18,8,209,50.5,66,17.4,1006,2016
Bears,219,93,10,6,177,53,108,23.1,1025,2015
Bengals,201,81,12,7,191,57.2,99,21.2,1004,2015
Bills,227,86,16,7,155,52.5,122,24,1016,2015
Broncos,224,79,14,7,201,54.6,85,20.7,1056,2015
Browns,227,95,24,10,192,51.8,81,21.3,1042,2015
Buccaneers,202,84,13,7,201,64.4,99,21.8,1017,2015
Cardinals,198,93,9,4,237,67.1,92,20.4,1041,2015
